"Nom","Code postal","Pays","État","Hub de rattachement","ID"
"MZEM SENDHAJA  ","19506","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19506"
"M HAJER  ","19464","Maroc","L'Oriental (MA)","HUB_NADOR","19464"
"NADOR  ","19507","Maroc","L'Oriental (MA)","HUB_NADOR","19507"
"NAIIMA​","19508","Maroc","L'Oriental (MA)","HUB_OUJDA","19508"
"NAOUR  ","19509","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19509"
"NKHAILA  ","19510","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19510"
"NKOB  ","19511","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19511"
"NOUINOUICH  ","19512","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19512"
"NOUIRATE  ","19513","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19513"
"OLD GHANAM​","19514","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19514"
"OLD SAID LOUED  ","19515","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19515"
"OLD SMAIL ","19516","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19516"
"OLD YOUSSEF  ","19517","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19517"
"OUAD IFRAN  ","19519","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19519"
"OUALEGH  ","19520","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19520"
"OUALIDIA​","19521","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19521"
"OUAOULZEMT  ","19522","Maroc","Fès-Meknès (MA)","HUB_FES","19522"
"OUAOUMANA  ","19523","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19523"
"OUAOUZGAN  ","19524","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19524"
"OUARZAZATE  ","19525","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19525"
"OUAZZANE  ","19526","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19526"
"OUED AMLIL​","19527","Maroc","Fès-Meknès (MA)","HUB_TAZA","19527"
"OUED EL MARSSA  ","19528","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19528"
"OUED LAHMAR  ","19529","Maroc","Fès-Meknès (MA)","HUB_FES","19529"
"OUED LAOU  ","19530","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19530"
"OUED ZEM  ","19531","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19531"
"OUJDA​","19532","Maroc","L'Oriental (MA)","HUB_OUJDA","19532"
"OULAD SAID ","19533","Maroc","Casablanca-Settat (MA)","HUB_SETTAT","19533"
"OULAD SGHIER ","19534","Maroc","Casablanca-Settat (MA)","HUB_SETTAT","19534"
"OULAD BOUBKER  ","19535","Maroc","L'Oriental (MA)","HUB_NADOR","19535"
"OULAD DAOUD  ","19536","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19536"
"OULAD HAMMOU  ","19537","Maroc","Fès-Meknès (MA)","HUB_FES","19537"
"OULAD HASSOUN  ","19538","Maroc","Fès-Meknès (MA)","HUB_FES","19538"
"OULAD JERRAR​","19539","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19539"
"OULAD TALEB​","19540","Maroc","Fès-Meknès (MA)","HUB_TAZA","19540"
"OULAD YA3ICH  ","19541","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19541"
"OULAD ZIDOUH","19542","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19542"
"OULED AAMAR  ","19543","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19543"
"OULED ABDOUNE  ","19544","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19544"
"OULED ALI  ","19545","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19545"
"OULED AYAD  ","19546","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19546"
"OULED AZOUZ  ","19547","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19547"
"OULED BEN HAMMADI  ","19548","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19548"
"OULED BERRHIL​","19549","Maroc","Souss-Massa (MA)","HUB_AGADIR","19549"
"OULED BOUGHADI  ","19550","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19550"
"OULED DAOUD ZKHANINE  ","19551","Maroc","L'Oriental (MA)","HUB_NADOR","19551"
"OULED DAOUD ZKHANINE  ","19552","Maroc","L'Oriental (MA)","HUB_NADOR","19552"
"OULED FTATA  ","19553","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19553"
"OULED KLIBE  ","19554","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19554"
"OULED LAABID  ","19555","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19555"
"OULED MBAREK  ","19557","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19557"
"OULED MOUSSA  ","19558","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19558"
"OULED M KOUDOU  ","19556","Maroc","Fès-Meknès (MA)","HUB_FES","19556"
"OULED NACER  ","19559","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19559"
"OULED TAYEB  ","19560","Maroc","Fès-Meknès (MA)","HUB_FES","19560"
"OULED TEAIMA​","19561","Maroc","Souss-Massa (MA)","HUB_AGADIR","19561"
"OULED YOUSSEF  ","19562","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19562"
"OULED ZBIR​","19563","Maroc","Fès-Meknès (MA)","HUB_TAZA","19563"
"OUNARA​","19564","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19564"
"OUNNANA  ","19565","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19565"
"OURIKA  ","19566","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19566"
"OURTZARH  ","19567","Maroc","Fès-Meknès (MA)","HUB_FES","19567"
"OUTA BOUABANE  ","19568","Maroc","Fès-Meknès (MA)","HUB_FES","19568"
"OUZOUD  ","19569","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19569"
"OU LAD ABDELLAH  ","19518","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19518"
"PORT MED  ","19570","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19570"
"QUAA ASSERASSE  ","19571","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19571"
"RABAT","19572","Maroc","Rabat-Salé-Kénitra (MA)","HUB_RABAT","19572"
"RASS LMA​","19576","Maroc","L'Oriental (MA)","HUB_OUJDA","19576"
"RAS ALMA  ","19573","Maroc","L'Oriental (MA)","HUB_NADOR","19573"
"RAS EL AIN  ","19574","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19574"
"RAS TBOUDA  ","19575","Maroc","Fès-Meknès (MA)","HUB_FES","19575"
"RIBAT ALKHIR  ","19577","Maroc","Fès-Meknès (MA)","HUB_FES","19577"
"RISSANI  ","19578","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19578"
"ROUADI  ","19579","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19579"
"SABT AIT IKO  ","19580","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19580"
"SABT BEN SASI  ","19581","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19581"
"SAFI​","19582","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19582"
"SAIIDIA​","19583","Maroc","L'Oriental (MA)","HUB_OUJDA","19583"
"sale​","19776","Maroc","L'Oriental (MA)","HUB_RABAT","19776"
"SALÉ  ","19584","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19584"
